"","mean","sd","2.5%","50%","97.5%","Rhat","n.eff","95%_HPDL","95%_HPDU"
"685",-1.69986410140171,0.863683638884161,-3.29306588785415,-1.73506672259123,0.0686940489843212,1,7288,-3.37892637072866,-0.0291798141373032
"686",-0.149254846461287,0.370036548167181,-0.894027195701405,-0.144120357055312,0.557236138163442,1,6380,-0.893884791510959,0.557272777814025
"687",-1.18845511662718,0.282225931065346,-1.72750014695511,-1.18900376985309,-0.62522528135814,1,5500,-1.74500647281371,-0.646584830661521
"688",1.18255848029189,0.196671085988901,0.804011858245304,1.18183311564502,1.57562544302257,1,3526,0.794764706711793,1.55682077566581
"689",0.238069581553495,0.619624265747556,-0.979390552491263,0.238084442766922,1.46223638541611,1,7816,-1.02576972359933,1.40350801234279
"690",-0.606937362831392,0.217905236983721,-1.04948781181843,-0.606240134276611,-0.176730278209521,1,4317,-1.0175255507589,-0.15858139735956
"691",0.996186528811825,0.323018028451691,0.395797972797259,0.979102705879576,1.67146155011528,1,5938,0.357951358843841,1.62676170613133
"692",-0.270570968012427,0.215374342483159,-0.702342952382854,-0.263368940535871,0.141999921492713,1,3876,-0.688007582441464,0.152924833655849
"693",-1.03699187568845,0.518773367323175,-1.99741703839218,-1.05678462364216,0.0124521149171762,1,7852,-2.01834994217883,-0.0190173904960274
"694",-0.438806403660959,0.222621230526068,-0.877923170249564,-0.436070938445052,-0.00860031364343061,1,3705,-0.891897327915259,-0.0263217602329363
"695",0.636160640695242,0.227925242289582,0.196309175427753,0.630348662654056,1.0966576842433,1,4152,0.188325668537853,1.08059923330357
"696",0.286835524325937,0.215442605258046,-0.140394155330183,0.28096019761081,0.699006261014412,1,3913,-0.143330057833452,0.694465889421773
"697",-1.26550356927428,0.744993411225757,-2.62875278803807,-1.31288092974208,0.293873111766523,1,7405,-2.67195059483337,0.24185608568001
"698",0.243721900908916,0.612887666235996,-0.957711263210758,0.241091820204679,1.46365782828359,1,8037,-0.910664446672748,1.49363938320074
"699",0.2564265719136,0.614560526488745,-0.945734727376248,0.251921783167037,1.47223324061325,1,8235,-0.968731532559118,1.44503440977709
"700",0.242381892934534,0.617295181297552,-0.96644347117244,0.237380675519884,1.47240823342806,1,8015,-0.99908323423183,1.43289000496655
"701",0.590743233958171,0.552349715496045,-0.446658854496185,0.576341892912382,1.73244767150336,1,7879,-0.454694277601789,1.71307864589717
"702",1.62201313685128,0.47316699456803,0.754832891028889,1.60120707404226,2.59188002073081,1,7669,0.720318763824876,2.54448091918169
"703",0.599491173100712,0.54425172771953,-0.440457901395137,0.577862858445894,1.72318417515793,1,7660,-0.471039203813429,1.68720283295544
"704",0.355634935443936,0.240374390392918,-0.114559753465156,0.356424528383807,0.822754671526524,1,4322,-0.114559753465156,0.822751709876782
"705",-1.2474405166774,0.755445703397142,-2.61867697726252,-1.28576156581521,0.34712087854846,1,7528,-2.72010325286623,0.227092972723738
"706",-1.0472426423352,0.519624282628788,-2.01650867877164,-1.06095662227977,-0.00666436262252068,1,7900,-2.04734326122845,-0.043727975251305
"707",-1.12299369264075,0.58950143136223,-2.22916470268448,-1.15254045428682,0.0738690570048374,1,7853,-2.27366934478719,0.0233516197147449
"708",-1.05665341196734,0.522809579870035,-2.06118275349723,-1.07039974131246,-0.0179489616781298,1,7764,-2.04298353546119,-0.00452302847096608
"709",0.612410172135076,0.55290478748596,-0.435083907724652,0.605066613181596,1.73059863284796,1,7618,-0.427950576742336,1.73452938077998
"710",1.64120324613136,0.461369189528202,0.771620416993847,1.62520602456381,2.60553670591856,1,7407,0.725735112308766,2.54208131435316
"711",1.61557113721134,0.473221614502354,0.735976997452263,1.60245361973041,2.6067740911784,1,7305,0.653070857182025,2.50232729735719
"712",1.74772497028768,0.615031872962788,0.629344384595669,1.72638589183715,3.02827570456625,1,7655,0.609391043580828,2.98665786402412
"713",-0.49677850446582,0.23720194944485,-0.976409233543504,-0.488078942321484,-0.0417655598384927,1,4424,-0.92602829580251,-0.00983594137160265
"714",-0.356197986876875,0.311226589555994,-0.983485686988062,-0.351920945983499,0.241021312766962,1,5763,-0.958581971078883,0.25685275714351
"715",-0.367140020403542,0.240078638476926,-0.841941179577097,-0.365285385935974,0.0930770098332151,1,4501,-0.845028984170053,0.0868153430624363
"716",-1.25159608055761,0.746577040015124,-2.64246268414842,-1.2824645412756,0.301847732321029,1,7950,-2.68237341741865,0.252249218771432
"717",0.244620034241964,0.616763333962499,-0.962349482092622,0.243218215181923,1.45125670386013,1,8157,-0.984186155773487,1.41091457899099
"718",1.26709136989817,0.315794525157047,0.675267410789766,1.25541424837041,1.90032145336624,1,5714,0.663675564346497,1.88352875210676
"719",0.0798843595521275,0.439826590661341,-0.801230853014192,0.0814347866319183,0.923778721757976,1,6990,-0.786378842581307,0.932558703741085
"720",0.931900460906172,0.355062845723223,0.262645249323659,0.917084668926497,1.66036582850993,1,6304,0.245577777429284,1.63381808889585
"721",-0.0473237707305165,0.290270370863906,-0.607944672264413,-0.0444347873751636,0.517975467412606,1,5567,-0.586783845316405,0.534416976873797
"722",-0.393760268376642,0.259632737791465,-0.904273492015302,-0.393688267593262,0.0986260011662529,1,4611,-0.907768691024748,0.0938618204545884
"723",1.62328247900017,0.476250692117093,0.74098290065327,1.5995994490646,2.61317849859263,1,6961,0.683453858783246,2.52944309263435
"724",-0.127907115162354,0.318877971694427,-0.781270154519774,-0.122453698521845,0.49175488917448,1,6048,-0.756826589098213,0.509252812362569
"725",-0.774521701950836,0.240149818556679,-1.23700757410086,-0.77301604940786,-0.301844257214493,1,4089,-1.23156522654001,-0.297497277630778
"726",0.180410075493542,0.163961716528074,-0.138642601849872,0.181150873494948,0.498785381791283,1,2998,-0.138860976333163,0.495327187385517
"727",-1.11287103182999,0.604037698562619,-2.22565521221128,-1.14101903921539,0.124425667066386,1,7972,-2.26047704591757,0.0768468756486294
"728",0.442912371095573,0.334625952657542,-0.198381031983778,0.442556871796883,1.10485464156709,1,5645,-0.20727054166196,1.0835332665857
"729",0.600707476304205,0.552711449128759,-0.456986341523815,0.591758985077539,1.7340204771358,1,8002,-0.462954940839563,1.72462761749684
"730",-0.00567677685856581,0.211646187628633,-0.428407221292817,-0.00498023738922132,0.407599984137616,1,3960,-0.41309633431864,0.419041349859062
